round,avg_error,avg_reputation,regime,viral_count,bridge_count,energy_brownouts
97,0.03462713013174182,0.91370143573819,Calm,36,67,0
98,0.03582250442715341,0.9138644777710934,Calm,37,67,0
99,0.03550925240503354,0.9139392978694117,Calm,36,67,0
100,0.03510948650552347,0.9140125074651576,Calm,39,67,0
101,0.034630995723166164,0.9140849816457873,Calm,37,67,0
102,0.03545779331061176,0.9142333497755933,Calm,36,67,0
103,0.03478821426368417,0.9142523939720832,Calm,39,67,0
104,0.03466059538065827,0.91434739017347,Calm,36,67,0
105,0.03591637768131003,0.9144694460996152,Calm,38,67,0
106,0.03501627057158265,0.9145013436039595,Calm,35,67,0
107,0.03479691334706426,0.914545645661811,Calm,38,67,0
108,0.03555397317744317,0.914640859249255,Calm,36,67,0
109,0.034778315008334164,0.9146596209074724,Calm,38,67,0
110,0.03509484196332405,0.9147621038521992,Calm,39,67,0
111,0.0355637432911044,0.9148420048618557,Calm,38,67,0
112,0.03468535905528993,0.9148151443517735,Calm,37,67,0
113,0.03409190708042072,0.9148569001098698,Calm,36,67,0
114,0.03514803626547935,0.9149649196018238,Calm,39,67,0
115,0.035247251044533974,0.9149851302991521,Calm,36,67,0
116,0.035643244341540065,0.915099212424233,Calm,37,67,0
117,0.033953750948965154,0.9150359367938382,Calm,37,67,0
118,0.03389273271879179,0.9150828296223849,Calm,39,67,0
119,0.03519544749152863,0.9151722819673717,Calm,36,67,0
120,0.03491404300779042,0.9151746619453881,Calm,35,67,0
121,0.03540224508285708,0.9152429322129266,Calm,38,67,0
122,0.03569763644978324,0.9153194536362093,Calm,38,67,0
123,0.03523648683258314,0.9153046733910923,Calm,37,67,0
124,0.035443197080445736,0.9153031413332764,Calm,34,67,0
125,0.0347432615988877,0.9153377850731299,Calm,37,67,0
126,0.036247295023850795,0.9154328422270916,Calm,37,67,0
127,0.03470263610539763,0.915375382003441,Calm,36,67,0
128,0.03541648301437454,0.9154258740181997,Calm,36,67,0
129,0.03461956555222776,0.9154311736500911,Calm,37,67,0
130,0.035462902388782476,0.9154726042470199,Calm,36,67,0
131,0.035401126651769636,0.9155433854136195,Calm,38,67,0
132,0.036199639560757765,0.9155506550909561,Calm,36,67,0
133,0.03451001740451288,0.915516605443601,Calm,41,67,0
134,0.0352200826768063,0.9155550309001039,Calm,35,67,0
135,0.034889636194186974,0.91555341502221,Calm,38,67,0
136,0.03648592838097581,0.9156103026083936,Calm,38,67,0
137,0.03501522408589559,0.9155903397509856,Calm,34,67,0
138,0.03485257747321103,0.9155905631736119,Calm,37,67,0
139,0.035513323486649984,0.9155973765979804,Calm,36,67,0
140,0.0351362927957073,0.9156214207277071,Calm,38,67,0
141,0.03394845121568637,0.9155688167718452,Calm,38,67,0
142,0.03484902272561883,0.9156324337391324,Calm,36,67,0
143,0.03471962479244136,0.9155940846291913,Calm,37,67,0
144,0.034954057639521266,0.9156418974810436,Calm,36,67,0
145,0.035849313406617705,0.9157061126491822,Calm,37,67,0
146,0.03407943972723257,0.9156163855649482,Calm,35,67,0
147,0.03475112406093131,0.9156797810534154,Calm,39,67,0
148,0.035196061666330075,0.9157290266580043,Calm,35,67,0
149,0.03501262541581029,0.9157368542808011,Calm,37,67,0
